12/05/2013 16:29:41.606 [Controller] - Starting node threads...
12/05/2013 16:29:41.612 [FloodMaxAcksAsync[0]] - Parent: 0, Tentative Leader: 0
12/05/2013 16:29:41.612 [FloodMaxAcksAsync[2]] - Parent: 2, Tentative Leader: 2
12/05/2013 16:29:41.612 [FloodMaxAcksAsync[1]] - Parent: 1, Tentative Leader: 1
12/05/2013 16:29:41.612 [FloodMaxAcksAsync[4]] - Parent: 4, Tentative Leader: 4
12/05/2013 16:29:41.612 [FloodMaxAcksAsync[3]] - Parent: 3, Tentative Leader: 3
12/05/2013 16:29:41.612 [FloodMaxAcksAsync[5]] - Parent: 5, Tentative Leader: 5
12/05/2013 16:29:41.613 [FloodMaxAcksAsync[6]] - Parent: 6, Tentative Leader: 6
12/05/2013 16:29:41.613 [FloodMaxAcksAsync[8]] - Parent: 8, Tentative Leader: 8
12/05/2013 16:29:41.613 [FloodMaxAcksAsync[7]] - Parent: 7, Tentative Leader: 7
12/05/2013 16:29:41.613 [FloodMaxAcksAsync[9]] - Parent: 9, Tentative Leader: 9
12/05/2013 16:29:41.614 [FloodMaxAcksAsync[10]] - Parent: 10, Tentative Leader: 10
12/05/2013 16:29:41.614 [FloodMaxAcksAsync[11]] - Parent: 11, Tentative Leader: 11
12/05/2013 16:29:41.614 [Controller] - All node threads started
12/05/2013 16:29:41.614 [FloodMaxAcksAsync[12]] - Parent: 12, Tentative Leader: 12
12/05/2013 16:29:41.614 [FloodMaxAcksAsync[13]] - Parent: 13, Tentative Leader: 13
12/05/2013 16:29:41.614 [FloodMaxAcksAsync[14]] - Parent: 14, Tentative Leader: 14
12/05/2013 16:29:41.622 [FloodMaxAcksAsync[1]] - Parent: 1, Tentative Leader: 1
12/05/2013 16:29:41.622 [FloodMaxAcksAsync[7]] - Parent: 7, Tentative Leader: 7
12/05/2013 16:29:41.622 [FloodMaxAcksAsync[9]] - Parent: 9, Tentative Leader: 9
12/05/2013 16:29:41.622 [FloodMaxAcksAsync[0]] - Parent: 0, Tentative Leader: 0
